date,port_ret,port_ret_net,nav,value
20250922,-0.0007919575607890028,-0.0012919575607890027,1.119366191018376,11193661.910183761
20250923,0.000050609698764059184,-0.00044939030123594085,1.118863158708601,11188631.58708601
20250924,0.00012849370164289554,-0.0003715062983571045,1.118447493998141,11184474.93998141
20250925,0.00040116196293611407,-0.00009883803706388594,1.1183369488432753,11183369.488432752
20250926,0.00010766428616479918,-0.00039233571383520086,1.1178981853181424,11178981.853181424
20250929,0.0012240235518485632,0.0007240235518485632,1.1187075699328817,11187075.699328817
20250930,0.008950517567278559,0.008450517567278559,1.128161227905247,11281612.279052472
20251009,-0.00021129853888385286,-0.0007112985388838529,1.1273587684722126,11273587.684722126
20251010,-0.020858242870343137,-0.021358242870343137,1.103280366093172,11032803.66093172
20251013,0.004644789994208853,0.0041447899942088536,1.1078532315153622,11078532.315153621
20251014,0.00018595023549394796,-0.00031404976450605205,1.1075053104688977,11075053.104688976
20251015,-0.0004641680806247384,-0.0009641680806247384,1.106437489199421,11064374.89199421
20251016,0.00025397100460257117,-0.00024602899539742884,1.1061652734954834,11061652.734954834
20251017,0.0030109348263228307,0.0025109348263228307,1.108942782404372,11089427.824043721
20251020,-0.00026146989057564964,-0.0007614698905756497,1.1080983558652,11080983.558652
20251021,-0.0012605263914496235,-0.0017605263914496235,1.1061475194653774,11061475.194653774
20251022,0.0029095828434957173,0.0024095828434957172,1.1088128735506566,11088128.735506566
20251023,-0.001094692775962236,-0.001594692775962236,1.1070446576713113,11070446.576713113
20251024,0.004205969261795039,0.003705969261795039,1.1111473311440756,11111473.311440757
20251027,0.0010078829456355409,0.0005078829456355409,1.1117116639236522,11117116.639236521
20251028,0.0005857843319300948,0.00008578433193009484,1.1118070313660409,11118070.31366041
20251029,0.008093037842785967,0.007593037842785966,1.1202490242290788,11202490.242290787
20251030,0.00007956725048512414,-0.0004204327495148759,1.1197780348516808,11197780.348516809
20251031,0.00028494768890979794,-0.00021505231109020207,1.119537223997378,11195372.23997378
20251103,-0.0001869183594754853,-0.0006869183594754853,1.118768193324098,11187681.93324098
20251104,-0.003598372336376754,-0.004098372336376754,1.1141830647097604,11141830.647097604
